media_source,date,country_code,earnings,cost
Facebook Ads,2020-08-03,DE,18.98,63.05
Facebook Ads,2020-08-03,GB,0.0,65.28
Facebook Ads,2020-08-03,HK,56.44,151.4
Facebook Ads,2020-08-03,MX,50.95,220.62
Facebook Ads,2020-08-03,PL,68.43,65.56
Facebook Ads,2020-08-03,RU,69.93,66.24
Facebook Ads,2020-08-03,US,2005.17,2995.34
Facebook Ads,2020-08-04,BR,152.34,187.12
Facebook Ads,2020-08-04,CA,75.42,112.82
Facebook Ads,2020-08-04,DE,49.95,41.75
Facebook Ads,2020-08-04,GB,0.0,32.68
Facebook Ads,2020-08-04,HK,76.96000000000001,109.54
Facebook Ads,2020-08-04,MX,64.43,138.03
Facebook Ads,2020-08-04,PL,48.45,67.96
Facebook Ads,2020-08-04,RU,60.44,72.73
Facebook Ads,2020-08-04,US,2094.57,2643.26
Facebook Ads,2020-08-05,BR,118.38,351.02
Facebook Ads,2020-08-05,CA,119.38,224.81
Facebook Ads,2020-08-05,DE,50.45,71.34
Facebook Ads,2020-08-05,GB,0.0,81.31
Facebook Ads,2020-08-05,HK,59.44,151.16
Facebook Ads,2020-08-05,MX,63.93,114.63
Facebook Ads,2020-08-05,PL,149.93,76.91
Facebook Ads,2020-08-05,RU,68.43,143.08
Facebook Ads,2020-08-05,US,2678.75,3351.59
Facebook Ads,2020-08-06,BR,159.38,386.24
Facebook Ads,2020-08-06,CA,119.42,172.56
Facebook Ads,2020-08-06,DE,80.92,53.67
Facebook Ads,2020-08-06,GB,0.0,32.09
Facebook Ads,2020-08-06,HK,40.46,87.61
Facebook Ads,2020-08-06,MX,21.48,118.95
Facebook Ads,2020-08-06,PL,31.97,90.42
Facebook Ads,2020-08-06,RU,154.84,225.65
Facebook Ads,2020-08-06,US,2307.57,3764.33
Facebook Ads,2020-08-07,BR,158.84,212.05
Facebook Ads,2020-08-07,CA,98.9,147.08
Facebook Ads,2020-08-07,DE,48.95,26.03
Facebook Ads,2020-08-07,GB,0.0,21.11
Facebook Ads,2020-08-07,HK,46.45,85.28
Facebook Ads,2020-08-07,MX,118.42,113.9
Facebook Ads,2020-08-07,PL,59.94,47.23
Facebook Ads,2020-08-07,RU,162.42000000000002,133.17
Facebook Ads,2020-08-07,US,1793.47,2718.39
Facebook Ads,2020-08-08,BR,92.9,74.14
Facebook Ads,2020-08-08,CA,46.95,139.56
Facebook Ads,2020-08-08,DE,49.99,26.38
Facebook Ads,2020-08-08,GB,0.0,24.06
Facebook Ads,2020-08-08,HK,68.93,76.4
Facebook Ads,2020-08-08,MX,90.41,81.21
Facebook Ads,2020-08-08,PL,21.48,56.8
Facebook Ads,2020-08-08,RU,92.95,267.94
Facebook Ads,2020-08-08,US,1847.54,2373.63
Facebook Ads,2020-08-09,BR,145.39,135.71
Facebook Ads,2020-08-09,CA,201.87,149.24
Facebook Ads,2020-08-09,DE,36.46,51.05
Facebook Ads,2020-08-09,GB,0.0,45.11
Facebook Ads,2020-08-09,HK,315.38,139.15
